TYPE,SOURCE,DATE,SUMMARY,INDEXS,DATA,DATA_HR,SUMMARY_HR,SYNC,SYNC_QQHEALTH,TIME_ZONE,DEVICE_ID,USER_SUMMARY
0,5,2015-12-19,"{""v"":5,""slp"":{""st"":1450464840,""ed"":1450478820,""dp"":93,""lt"":140,""wk"":0},""stp"":{""ttl"":7339,""dis"":5044,""cal"":289,""wk"":107,""rn"":0,""runDist"":28,""runCal"":1},""goal"":10000}",,,,,1,1,,,
0,5,2015-12-20,"{""v"":5,""slp"":{""st"":1450570440,""ed"":1450584060,""dp"":92,""lt"":135,""wk"":0},""stp"":{""ttl"":7532,""dis"":5300,""cal"":301,""wk"":107,""rn"":0,""runDist"":0,""runCal"":0},""goal"":10000}",,,,,1,1,,,
0,5,2015-12-21,"{""v"":5,""slp"":{""st"":1450640280,""ed"":1450662720,""dp"":145,""lt"":229,""wk"":0},""stp"":{""ttl"":12894,""dis"":9245,""cal"":512,""wk"":155,""rn"":1,""runDist"":151,""runCal"":7},""goal"":10000}",,,,,1,1,,,
0,5,2015-12-22,"{""v"":5,""slp"":{""st"":1450735680,""ed"":1450749060,""dp"":87,""lt"":136,""wk"":0},""stp"":{""ttl"":2825,""dis"":1879,""cal"":114,""wk"":37,""rn"":0,""runDist"":27,""runCal"":1},""goal"":10000}",,,,,1,1,,,
0,5,2015-12-23,"{""v"":5,""slp"":{""st"":1450822560,""ed"":1450839360,""dp"":135,""lt"":145,""wk"":0},""stp"":{""ttl"":3235,""dis"":2139,""cal"":130,""wk"":58,""rn"":0,""runDist"":21,""runCal"":1},""goal"":10000}",,,,,1,1,,,
0,5,2015-12-24,"{""v"":5,""slp"":{""st"":1450893720,""ed"":1450926180,""dp"":244,""lt"":297,""wk"":0},""stp"":{""ttl"":4305,""dis"":3000,""cal"":171,""wk"":65,""rn"":0,""runDist"":0,""runCal"":0},""goal"":10000}",,,,,1,1,,,
0,5,2015-12-25,"{""v"":5,""slp"":{""st"":1450986180,""ed"":1451015460,""dp"":195,""lt"":286,""wk"":7},""stp"":{""ttl"":4333,""dis"":2915,""cal"":172,""wk"":58,""rn"":0,""runDist"":67,""runCal"":3},""goal"":10000}",,,,,1,1,,,
0,5,2015-12-26,"{""v"":5,""slp"":{""st"":1451082180,""ed"":1451098440,""dp"":88,""lt"":183,""wk"":0},""stp"":{""ttl"":4643,""dis"":3113,""cal"":181,""wk"":65,""rn"":0,""runDist"":0,""runCal"":0},""goal"":10000}",,,,,1,1,,,
0,5,2015-12-27,"{""v"":5,""slp"":{""st"":1451162400,""ed"":1451189640,""dp"":178,""lt"":271,""wk"":5},""stp"":{""ttl"":3495,""dis"":2402,""cal"":137,""wk"":50,""rn"":0,""runDist"":0,""runCal"":0},""goal"":10000}",,,,,1,1,,,
0,5,2015-12-28,"{""v"":5,""slp"":{""st"":1451250360,""ed"":1451272260,""dp"":135,""lt"":230,""wk"":0},""stp"":{""ttl"":4143,""dis"":2808,""cal"":162,""wk"":60,""rn"":0,""runDist"":34,""runCal"":1},""goal"":10000}",,,,,1,1,,,
