# Accelerometer Data File
# Started @Sat Jul 23 22:55:24 PDT 2016
#
#
# sensor Vendor: InvenSense
# sensor Name: MPU6515 Accelerometer
# sensor Resolution: 5.950928E-4m/sec^2; Max Range: 19.613297; Min Delay: 5000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: MEDIUM
-6.108 3.343 6.196 5
-5.733 3.276 5.931 5
-6.053 3.478 6.341 5
-6.602 3.526 6.909 6
-6.652 3.38 6.767 5
-6.352 3.535 6.734 5
-6.075 3.567 6.995 5
-5.55 3.353 6.611 5
-5.759 3.385 6.71 5
-6.272 3.403 7.381 5
-6.505 3.476 7.138 5
-6.349 3.426 7.439 5
-5.931 3.435 7.45 5
-5.613 3.426 7.353 5
-5.525 3.426 7.104 5
-5.572 3.444 6.881 5
-5.607 3.459 6.72 5
-5.546 3.418 6.621 5
-5.76 3.362 7.03 5
-6.046 3.302 7.42 5
-5.857 3.43 7.127 5
-5.711 3.537 7.198 5
-5.698 3.537 7.478 5
-5.578 3.522 7.478 5
-5.464 3.535 7.398 5
-5.466 3.556 7.452 5
-5.526 3.541 7.523 5
-5.55 3.545 7.568 5
-5.547 3.54 7.5 5
-5.496 3.535 7.452 5
-5.455 3.528 7.534 5
-5.435 3.484 7.611 5
-5.401 3.488 7.617 6
-5.417 3.433 7.566 5
-5.437 3.44 7.57 5
-5.461 3.42 7.514 5
-5.522 3.428 7.513 5
-5.558 3.387 7.475 5
-5.583 3.355 7.49 5
-5.592 3.398 7.473 5
-5.555 3.417 7.364 5
-5.577 3.43 7.34 5
-5.559 3.393 7.319 5
-5.517 3.471 7.207 5
-5.576 3.453 7.271 5
-5.515 3.489 7.267 5
-5.517 3.47 7.166 5
-5.438 3.426 7.078 5
-5.352 3.397 6.976 5
-5.624 3.409 7.195 5
-5.917 3.467 7.411 5
-5.834 3.51 7.133 5
-5.553 3.507 7.156 5
-5.44 3.5 7.203 5
-5.483 3.479 7.164 5
-5.589 3.475 7.228 5
-5.635 3.482 7.332 5
-5.665 3.472 7.323 5
-5.676 3.42 7.258 5
-5.734 3.373 7.271 5
-5.78 3.332 7.279 6
-5.82 3.348 7.252 5
-5.862 3.332 7.238 5
-5.86 3.322 7.242 5
-5.791 3.347 7.2 5
-5.773 3.374 7.175 5
-5.758 3.347 7.182 5
-5.705 3.326 7.215 5
-5.698 3.342 7.261 5
-5.684 3.341 7.276 5
-5.65 3.333 7.279 5
-5.669 3.332 7.189 5
-5.697 3.37 7.129 5
-5.678 3.396 7.141 5
-5.679 3.358 7.132 5
-5.692 3.384 7.14 5
-5.693 3.406 7.144 5
-5.692 3.421 7.105 5
-5.714 3.406 7.046 5
-5.727 3.4 7.148 5
-5.712 3.406 7.116 5
-5.712 3.423 6.998 5
-5.69 3.423 6.98 5
-5.723 3.444 7.051 5
-5.713 3.424 7.097 5
-5.743 3.429 7.109 5
-5.747 3.415 7.222 5
-5.758 3.424 7.187 5
-5.707 3.43 7.188 6
-5.749 3.449 7.183 5
-5.759 3.413 7.159 5
-5.752 3.423 7.207 5
-5.723 3.424 7.232 5
-5.718 3.413 7.222 5
-5.721 3.422 7.3 5
-5.694 3.408 7.33 5
-5.642 3.413 7.276 5
-5.688 3.393 7.258 5
-5.756 3.35 7.213 5
-5.755 3.342 7.178 5
-5.742 3.369 7.172 5
-5.745 3.365 7.141 5
-5.722 3.388 7.076 5
-5.711 3.408 7.085 5
-5.721 3.404 7.102 5
-5.716 3.405 7.093 5
-5.697 3.415 7.127 5
-5.704 3.395 7.134 5
-5.734 3.393 7.136 5
-5.745 3.386 7.084 5
-5.765 3.37 7.073 5
-5.777 3.364 7.131 5
-5.748 3.342 7.126 5
-5.76 3.346 7.169 5
-5.778 3.369 7.246 5
-5.741 3.367 7.269 5
-5.747 3.378 7.2 6
-5.716 3.418 7.246 5
-5.69 3.402 7.233 5
-5.721 3.428 7.281 5
-5.705 3.403 7.283 5
-5.683 3.397 7.154 5
-5.688 3.483 7.175 5
-5.689 3.448 7.12 5
-5.716 3.476 7.094 5
-5.718 3.482 7.146 5
-5.708 3.499 7.104 5
-5.675 3.478 7.1 5
-5.633 3.493 7.184 5
-5.674 3.508 7.143 5
-5.624 3.516 7.157 5
-5.591 3.566 7.19 5
-5.578 3.547 7.244 5
-5.544 3.546 7.206 5
-5.532 3.588 7.256 5
-5.552 3.612 7.225 5
-5.569 3.608 7.243 5
-5.597 3.62 7.285 5
-5.611 3.65 7.235 5
-5.601 3.625 7.194 5
-5.559 3.611 7.223 5
-5.53 3.609 7.249 5
-5.504 3.642 7.344 5
-5.477 3.668 7.409 5
-5.452 3.67 7.382 6
-5.469 3.679 7.347 5
-5.47 3.698 7.374 5
-5.452 3.73 7.377 5
-5.429 3.743 7.413 5
-5.46 3.738 7.48 5
-5.514 3.74 7.453 5
-5.563 3.739 7.453 5
-5.485 3.687 7.304 5
-5.532 3.646 7.195 5
-5.62 3.698 7.139 5
-5.605 3.763 7.156 5
-5.581 3.794 7.003 5
-5.557 3.778 7.056 5
-5.728 3.593 6.827 5
-6.08 3.342 6.932 5
-6.196 3.183 7.018 5
-6.102 3.283 6.959 5
-6.089 3.349 7.05 5
-6.057 3.433 7.093 5
-6.009 3.587 7.246 5
-5.966 3.713 7.151 5
-5.902 3.825 7.002 5
-5.806 4.192 6.816 5
-5.992 3.992 6.624 5
-5.991 4.144 6.571 5
-5.755 4.23 6.808 5
-5.419 4.336 6.905 5
-5.209 4.414 7.047 5
-5.094 4.537 7.451 6
-4.994 4.662 7.536 5
-4.919 4.768 7.609 5
-4.798 4.807 7.677 5
-4.695 4.755 7.752 5
-4.682 4.695 7.849 5
-4.712 4.619 7.901 5
-4.751 4.515 7.972 5
-4.759 4.179 7.95 5
-4.812 3.866 7.732 5
-4.947 3.838 7.67 5
-5.2 3.858 7.927 5
-5.462 3.787 8.108 5
-5.511 3.664 8.19 5
-5.159 3.249 7.85 5
-4.632 2.885 6.742 5
-4.968 3.14 7.546 5
-5.432 3.469 8.568 5
-5.273 3.293 7.819 5
-5.191 3.15 7.277 5
-5.126 3.108 7.245 5
-5.08 2.944 6.317 5
-5.195 2.721 5.387 5
-5.196 2.725 5.485 5
-5.07 2.928 5.806 5
-4.947 2.98 6.085 5
-4.836 3.067 6.188 5
-4.719 3.215 6.169 5
-4.733 3.364 6.302 6
-4.708 3.767 6.594 5
-4.568 4.103 7.049 5
-4.354 4.469 7.337 5
-4.068 4.807 7.57 5
-3.723 5.196 7.592 5
-3.444 5.485 7.64 5
-3.085 5.862 7.787 5
-2.827 6.119 7.981 5
