RecordedDate	startTime	endTime	Calories	Distance	Height	lowLatitude	lowLongitude	highLatitude	highLongitude	avgSpeed	maxSpeed	minSpeed	stepCount	avgWeight	maxWeight	minWeight	bikingDuration	inactiveDuration	walkingDuration
11-22-2014	22:00:00.000+05:30	22:15:00.000+05:30				22.759334564209	88.3750381469727	22.759334564209	88.3750381469727									900000	
11-22-2014	22:15:00.000+05:30	22:30:00.000+05:30				22.7589778900146	88.37451171875	22.759334564209	88.3750381469727									647418	
11-22-2014	22:30:00.000+05:30	22:45:00.000+05:30				22.7591934204102	88.3748245239258	22.759334564209	88.3750381469727				2					900000	
11-22-2014	22:45:00.000+05:30	23:00:00.000+05:30				22.7589778900146	88.3745040893555	22.7592735290527	88.3749465942383									900000	
11-22-2014	23:00:00.000+05:30	23:15:00.000+05:30																900000	
11-22-2014	23:15:00.000+05:30	23:30:00.000+05:30																900000	
11-22-2014	23:30:00.000+05:30	23:45:00.000+05:30				22.759334564209	88.3750381469727	22.7596225738525	88.3750686645508	1.80277562141418	1.80277562141418	1.80277562141418						900000	
11-22-2014	23:45:00.000+05:30	00:00:00.000+05:30																900000	
11-23-2014	00:00:00.000+05:30	00:15:00.000+05:30											1					900000	
11-23-2014	00:15:00.000+05:30	00:30:00.000+05:30											1					900000	
11-23-2014	00:30:00.000+05:30	00:45:00.000+05:30											12					800718	
11-23-2014	00:45:00.000+05:30	01:00:00.000+05:30																900000	
11-23-2014	01:00:00.000+05:30	01:15:00.000+05:30																900000	
11-23-2014	01:15:00.000+05:30	01:30:00.000+05:30																900000	
11-23-2014	01:30:00.000+05:30	01:45:00.000+05:30																900000	
11-23-2014	01:45:00.000+05:30	02:00:00.000+05:30																900000	
11-23-2014	02:00:00.000+05:30	02:15:00.000+05:30																900000	
11-23-2014	02:15:00.000+05:30	02:30:00.000+05:30																900000	
11-23-2014	02:30:00.000+05:30	02:45:00.000+05:30																900000	
11-23-2014	02:45:00.000+05:30	03:00:00.000+05:30																900000	
11-23-2014	03:00:00.000+05:30	03:15:00.000+05:30																900000	
11-23-2014	03:15:00.000+05:30	03:30:00.000+05:30																900000	
11-23-2014	03:30:00.000+05:30	03:45:00.000+05:30																900000	
11-23-2014	03:45:00.000+05:30	04:00:00.000+05:30																900000	
11-23-2014	04:00:00.000+05:30	04:15:00.000+05:30																900000	
11-23-2014	04:15:00.000+05:30	04:30:00.000+05:30																900000	
11-23-2014	04:30:00.000+05:30	04:45:00.000+05:30				22.75950050354	88.3754577636719	22.75950050354	88.3754577636719									900000	
11-23-2014	04:45:00.000+05:30	05:00:00.000+05:30				22.759334564209	88.3750381469727	22.759334564209	88.3750381469727									900000	
11-23-2014	05:00:00.000+05:30	05:15:00.000+05:30																900000	
11-23-2014	05:15:00.000+05:30	05:30:00.000+05:30																900000	
11-23-2014	05:30:00.000+05:30	05:45:00.000+05:30																900000	
11-23-2014	05:45:00.000+05:30	06:00:00.000+05:30																900000	
11-23-2014	06:00:00.000+05:30	06:15:00.000+05:30																900000	
11-23-2014	06:15:00.000+05:30	06:30:00.000+05:30																900000	
11-23-2014	06:30:00.000+05:30	06:45:00.000+05:30																900000	
11-23-2014	06:45:00.000+05:30	07:00:00.000+05:30																900000	
11-23-2014	07:00:00.000+05:30	07:15:00.000+05:30																900000	
11-23-2014	07:15:00.000+05:30	07:30:00.000+05:30																900000	
11-23-2014	07:30:00.000+05:30	07:45:00.000+05:30																900000	
11-23-2014	07:45:00.000+05:30	08:00:00.000+05:30																900000	
11-23-2014	08:00:00.000+05:30	08:15:00.000+05:30											1					900000	
11-23-2014	08:15:00.000+05:30	08:30:00.000+05:30																900000	
11-23-2014	08:30:00.000+05:30	08:45:00.000+05:30											15					900000	
11-23-2014	08:45:00.000+05:30	09:00:00.000+05:30											5					900000	
11-23-2014	09:00:00.000+05:30	09:15:00.000+05:30											3					900000	
11-23-2014	09:15:00.000+05:30	09:30:00.000+05:30																900000	
11-23-2014	09:30:00.000+05:30	09:45:00.000+05:30				22.759334564209	88.3750381469727	22.759334564209	88.3750381469727									900000	
11-23-2014	09:45:00.000+05:30	10:00:00.000+05:30																900000	
11-23-2014	10:00:00.000+05:30	10:15:00.000+05:30											44					866113	
11-23-2014	10:15:00.000+05:30	10:30:00.000+05:30				22.7584495544434	88.3698959350586	22.763578414917	88.3707809448242	3.78318643569946	3.78318643569946	3.78318643569946	86				487299		
11-23-2014	10:30:00.000+05:30	10:45:00.000+05:30				22.7636661529541	88.3699035644531	22.7636661529541	88.3699035644531								900000		
11-23-2014	10:45:00.000+05:30	11:00:00.000+05:30															900000		
11-23-2014	11:00:00.000+05:30	11:15:00.000+05:30											1				397271	502729	
11-23-2014	11:15:00.000+05:30	11:30:00.000+05:30											2					900000	
11-23-2014	11:30:00.000+05:30	11:45:00.000+05:30											15					900000	
11-23-2014	11:45:00.000+05:30	12:00:00.000+05:30											12					900000	
11-23-2014	12:00:00.000+05:30	12:15:00.000+05:30											12				419953	480047	
11-23-2014	12:15:00.000+05:30	12:30:00.000+05:30				22.758394241333	88.3733901977539	22.7594165802002	88.3750381469727				144				517495	127514	44676
11-23-2014	12:30:00.000+05:30	12:45:00.000+05:30				22.7591552734375	88.3747711181641	22.759334564209	88.3750381469727									900000	
11-23-2014	12:45:00.000+05:30	13:00:00.000+05:30				22.7589778900146	88.3745040893555	22.7589778900146	88.3745040893555									900000	
11-23-2014	13:00:00.000+05:30	13:15:00.000+05:30																900000	
